Category,Part Name,Spec / Size,Pack Qty,Cart Qty,Unit Price,Line Total,Notes,Link
Servos,FEETECH STS3215 30kg Smart Servo,12V bus servo w/ magnetic encoder,2 pcs/pack,2,$48.99,$97.98,2x 2-packs = 4 servos total; 5% multi-buy discount noted in cart,
Control,Waveshare Bus Servo Driver Board,Serial bus power + control circuit,2 pcs/pack,1,$19.99,$19.99,ST/SC series bus servos. Jumper on position A for UART,
Control,ELEGOO ESP-32 Dev Board,ESP-WROOM-32 USB-C WiFi/BT,3 pcs/pack,1,$19.99,$19.99,Main controller board,
Power,Seloky USB-C PD Trigger Board,"PD/QC decoy, DIP-selectable 5-20V",4 pcs/pack,1,$9.99,$9.99,CH224K-based. SET DIP TO 20V (not 12V). Mount at panel edge - use its own USB-C socket,
Power,HiLetgo XL4016 Buck Converter,4-40V to 1.25-36V 8A 200W,2 pcs/pack,1,$10.99,$10.99,20V->12V servo rail. Set output to 12.0V BEFORE connecting any load,
Power,EBOOT MP1584EN Buck Converter,24V to 12/9/5/3V adjustable,6 pcs/pack,1,$12.55,$12.55,12V->5V ESP32 rail. Taps rail UPSTREAM of E-stop so logic survives a stop,
Power,Rubycon Electrolytic Capacitor,2200uF 25V 12.5x25mm low-ESR,multi-pack,1,$6.99,$6.99,Across servo adapter power terminals. Stripe to ground,
Protection,Chanzon SMBJ15A TVS Diodes,600W 15V unidirectional,50 pcs/pack,1,$5.99,$5.99,Across servo adapter power terminals. Banded end to +12V,
Protection,Automotive Blade Fuse Assortment Kit,5-30A ATC/ATO,140 pcs/pack,1,$9.97,$9.97,"Start with 7.5A, step to 10A only if nuisance blows",
Protection,10AWG Inline Fuse Holder,40A ATC blade,4 pcs/pack,1,$9.99,$9.99,7.5A fuse on servo rail. Oversized for 16AWG - watch the crimp,
Safety,TWTADE 22mm E-Stop Mushroom Button,2NC 10A 600V,1 pc,1,$14.99,$14.99,"1 contact breaks servo rail, 1 contact to ESP32 GPIO as sense",
Switches,Nilight 90012E Rocker Toggle Switch,SPST 15A 250V / 20A 125V,5 pcs/pack,1,$9.34,$9.34,"Master power switch (storage/transport, not emergency)",
Diagnostics,bayite DC Volt Meter,0-30V 3-wire red LED,5 pcs/pack,1,$9.99,$9.99,Consider swapping to a volt+amp combo module - current is the useful number,
Cables,Cable Matters USB-C Gen2 Cable,10Gbps 100W 3.3ft,1 pc,1,$12.99,$12.99,Host data cable to servo adapter,
Wiring,Haerkn 16AWG Silicone Wire,2-core,30ft spool,1,$17.88,$17.88,12V rail wiring,
Wiring,ELEGOO Dupont Wire Kit,"120pcs M-F / M-M / F-F, 8 inch",120 pcs/pack,1,$6.98,$6.98,ADDED - ESP32 to servo adapter UART + 5V logic,
Bearings,uxcell Flange Sleeve Bearings,"8mm Bore x 10mm OD x 12mm L, sintered bronze",12 pcs/pack,1,$9.69,$9.69,ADDED - main pivots. Flange doubles as thrust washer between links,
Bearings,uxcell Sleeve Bearings,"5mm Bore x 8mm OD x 10mm L, sintered bronze",20 pcs/pack,1,$8.69,$8.69,ADDED - smaller wrist / bellcrank pivots,
Bearings,SHKI 608-2RS Ball Bearings,"8x22x7mm, double rubber sealed",20 pcs/pack,1,$6.99,$6.99,ADDED - gear shafts for 120mm herringbone + 60mm pinion (2:1),
Bearings,uxcell Deep Groove Ball Bearing 6816-2RS,80x100x10mm,1 pc,1,$13.89,$13.89,Rotating swivel base,
Bearings,uxcell NTA4860 Thrust Needle Roller Bearings,"ID 3"" OD 3-3/4"" x 1/8"", w/4 washers",2 sets/pack,1,$13.79,$13.79,Rotating swivel base - kept per your call,
Fasteners,MECCANIXITY Shoulder Bolt,"8mm shoulder dia x 50mm, M6x1 thread, 304 SS",4 pcs/pack,1,$9.39,$9.39,"ADDED - long pivot pins, double shear through 8mm bushings",
Fasteners,uxcell Shoulder Bolt,"8mm shoulder dia x 25mm, M6 thread, 304 SS",5 pcs/pack,1,$9.99,$9.99,"ADDED - short pivot pins, 8mm bushings",
Fasteners,MECCANIXITY Shoulder Bolt,"5mm shoulder dia x 25mm, M4x0.7 thread, 304 SS",16 pcs/pack,1,$8.90,$8.90,ADDED - pivot pins for 5mm bushings,
Fasteners,Quacc M6 Nyloc Steel Nuts,"M6, 304 SS nylon-insert",20 pcs/pack,1,$3.69,$3.69,"ADDED - retains M6 shoulder bolts, no M6 inserts needed",
Fasteners,ruthex M4 Threaded Inserts (Brass Heat Set),M4x8.1,50 pcs/pack,1,$9.99,$9.99,For 3D printed parts + M4 shoulder bolt threads,
Fasteners,ruthex M3 Threaded Inserts (Brass Heat Set),M3x5.7,100 pcs/pack,1,$9.99,$9.99,For 3D printed parts,
Fasteners,Wensilon M3 Nylon-Insert Lock Nuts,M3 SS,100 pcs/pack,1,$6.99,$6.99,Long screws requiring clamping force,
Fasteners,BinifiMux M4 Self-Lock Nylon Nuts,M4 x 0.7mm,40 pcs/pack,1,$4.99,$4.99,Long screws requiring clamping force,
Fasteners,Fgruh M4 Socket Screw Assortment Kit,M4x6-30mm w/ nuts & washers,490 pcs/pack,1,$9.99,$9.99,Will change in further designs,
Fasteners,Fgruh M3 Hex Socket Screw Assortment Kit,M3x6-30mm w/ nuts & washers,720 pcs/pack,1,$9.99,$9.99,Will change in further designs,
Tools,FFVRVSS Heat Set Insert Tool,"7x soldering tips M2-M8, T18 adapter",1 kit,1,$5.99,$5.99,ADDED - required to install the ruthex inserts,
Filament,Polymaker PETG Filament,1.75mm 1KG Galaxy Black,1 kg,1,$21.99,$21.99,Structural links. See note on PLA creep,
Filament,Polymaker PLA Pro Filament,1.75mm 1KG Black,1 kg,1,$19.79,$19.79,Enclosure / non-load-bearing. Limited-time -10% deal applied,
,,,,,TOTAL,$461.33,without tax + shipping,

REMOVED FROM v1,,,,,,,,
Connectors,Type-C Female Chassis Panel Jack,2-pin 22AWG waterproof,,,$10.90,,2-pin = no CC lines = PD never negotiates. Trigger board mounts at panel instead,
Bearings,uxcell Sleeve Bearings,"3/8"" Bore x 1/2"" OD x 3/4"" L, Brass",,,$13.29,,"Imperial bore, no metric pin fits - 1.5mm slop with M8",
Bearings,HiPicco Sleeve Bearing,"1/2"" Bore x 5/8"" OD x 5/8"" L, Brass",,,$13.99,,Imperial bore + heavily oversized for the loads,
,,,,,REMOVED TOTAL,-$38.18,,
